x,y,z,success
-74.4884,26.3546,-602.495,1
-74.0379,26.0181,-603.184,1
-73.4854,25.7033,-602.886,1
-73.3104,25.6395,-602.477,1
-73.2171,25.7014,-602.723,1
-72.9481,25.4723,-603.997,1
-72.0303,24.9574,-602.473,1
-71.0996,24.6674,-603.182,1
-69.924,24.2861,-601.372,1
-69.1233,23.9407,-602.201,1
-68.7324,23.7569,-602.275,1
-68.4602,23.6243,-600.351,1
-68.5412,23.575,-601.373,1
-68.5155,23.3043,-601.615,1
-68.5648,23.1386,-601.793,1
-68.5684,22.8484,-602.178,1
-68.8051,22.7983,-601.496,1
-68.9885,22.8583,-600.674,1
-69.1089,22.82,-600.163,1
-69.2107,22.758,-600.276,1
-69.3032,22.8121,-600.928,1
-69.396,22.8702,-600.905,1
-69.524,23.1572,-600.356,1
-69.6501,23.0852,-600.787,1
-69.6952,23.0971,-600.345,1
-69.8003,23.1109,-600.085,1
-69.841,23.3671,-600.07,1
-70.0182,23.3997,-600.258,1
-69.8407,23.2959,-600.039,1
-69.7624,23.1082,-599.725,1
-69.8818,23.095,-599.719,1
-69.9901,23.0373,-598.77,1
-70.1944,23.2121,-599.519,1
-70.3278,23.3146,-599.995,1
-70.1965,23.4584,-600.135,1
-70.3228,23.5686,-600.631,1
-70.4619,23.6527,-601.782,1
-70.6718,23.6894,-601.926,1
-70.8157,23.8104,-602.668,1
-71.023,23.8894,-603.252,1
-71.1252,23.8813,-601.83,1
-71.278,24.1219,-603.089,1
-71.2877,24.0323,-602.27,1
-71.3622,24.0584,-604.167,1
-71.3035,23.9425,-602.474,1
-71.2747,23.8328,-601.68,1
-71.5102,23.7861,-603.02,1
-71.4283,23.7116,-603.564,1
-71.3205,23.72,-602.995,1
-71.2995,23.726,-603.073,1
-71.3485,23.7556,-603.111,1
-71.38,23.7908,-602.572,1
-71.5001,23.7629,-602.862,1
-71.3249,23.6791,-601.11,1
-71.3314,23.7923,-602.268,1
-71.4322,23.8775,-603.396,1
-71.4874,24.0269,-603.922,1
-71.5247,24.0061,-602.716,1
-71.6231,24.0983,-603.267,1
-71.6137,24.1056,-603.756,1
-71.4879,24.2225,-603.364,1
-71.4066,24.4763,-603.206,1
-71.4935,24.6277,-603.798,1
-71.5016,24.7287,-603.991,1
-71.5582,24.7484,-603.585,1
-71.4037,24.9194,-603.365,1
-71.1364,25.1218,-604.15,1
-70.8186,25.5815,-604.478,1
-70.4091,25.9007,-604.469,1
-70.0097,26.2807,-603.208,1
-69.8761,26.5277,-603.769,1
-69.4188,27.0994,-604.351,1
-69.0493,27.5316,-604.019,1
-68.7655,28.0879,-604.57,1
-68.6258,28.6235,-604.641,1
-68.4051,29.1079,-605.862,1
-68.196,29.2095,-605.755,1
-68.0827,29.1612,-605.055,1
-68.1347,29.0128,-604.91,1
-68.3833,29.1536,-605.715,1
-68.3672,29.3686,-606.332,1
-68.1837,29.5068,-606.624,1
-68.1227,29.4723,-606.442,1
-68.2198,29.6592,-607.622,1
-68.453,29.7905,-608.068,1
-68.6537,29.7597,-608.787,1
-68.732,29.6494,-608.865,1
-68.7682,29.6094,-609.776,1
-68.746,29.6369,-608.775,1
-68.7545,29.9202,-610.198,1
-68.7395,30.0425,-609.964,1
-68.6552,30.2504,-609.371,1
-68.5316,30.3989,-609.567,1
-68.4669,30.4679,-608.508,1
-68.5383,30.7737,-609.279,1
-68.4038,31.3898,-608.953,1
-68.2665,32.1434,-609.262,1
-68.3683,32.2894,-609.026,1
-68.6057,31.7066,-610.268,1
-68.6836,30.7447,-607.419,1
-68.8139,30.4925,-608.153,1
-68.761,30.5199,-608.56,1
-68.777,30.507,-607.908,1
-68.9678,30.4533,-607.717,1
-69.2465,30.3395,-608.03,1
-69.3931,30.0507,-607.205,1
-69.362,30.117,-607.269,1
-69.51,30.0076,-606.137,1
-69.6649,30.0618,-605.419,1
-69.7971,30.3415,-607.335,1
