 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
369,3,255,255,255,1017.500,658.500,1017.500,658.500,7
370,6,255,255,255,1006,179.167,1006,179.167,8
371,3,255,255,255,1024.500,189.500,1024.500,189.500,8
372,2,255,255,255,1065,232.500,1065,232.500,8
373,3,255,255,255,1070.167,238.833,1070.167,238.833,8
374,149,255,255,255,872.842,245.305,872.842,245.305,8
375,151,255,255,255,933.639,246.560,933.639,246.560,8
376,6,255,255,255,1097.500,253.667,1097.500,253.667,8
377,10,255,255,255,1059.400,278.300,1059.400,278.300,8
378,3,255,255,255,894.833,312.167,894.833,312.167,8
379,4,255,255,255,1164.250,326.250,1164.250,326.250,8
380,345,255,255,255,766.004,336.004,766.004,336.004,8
381,3,255,255,255,1164.500,332.500,1164.500,332.500,8
382,185,255,255,255,688.073,340.111,688.073,340.111,8
383,5,255,255,255,1162.700,350.100,1162.700,350.100,8
384,8,255,255,255,1148,352.625,1148,352.625,8
385,355,255,255,255,957.246,366.204,957.246,366.204,8
386,4,255,255,255,1105,359.500,1105,359.500,8
387,2,255,255,255,1160,369.500,1160,369.500,8
388,3,255,255,255,1166.500,369.833,1166.500,369.833,8
389,8,255,255,255,1185,373.875,1185,373.875,8
390,348,255,255,255,1062.316,383.707,1062.316,383.707,8
391,4,255,255,255,1167,374.500,1167,374.500,8
392,8,255,255,255,1172.500,375.875,1172.500,375.875,8
393,9,255,255,255,1112.500,380.833,1112.500,380.833,8
394,4,255,255,255,1159.250,383.750,1159.250,383.750,8
395,4,255,255,255,1091,387.500,1091,387.500,8
396,129,255,255,255,765.066,401.771,765.066,401.771,8
397,6,255,255,255,1174,407.500,1174,407.500,8
398,1,255,255,255,1183.500,408.500,1183.500,408.500,8
399,499,255,255,255,627.732,423.552,627.732,423.552,8
400,3,255,255,255,1176.167,416.167,1176.167,416.167,8
401,456,255,255,255,957.298,436.511,957.298,436.511,8
402,233,255,255,255,777.929,460.732,777.929,460.732,8
403,7,255,255,255,1139.786,466.500,1139.786,466.500,8
404,265,255,255,255,692.975,477.017,692.975,477.017,8
405,1,255,255,255,1065.500,536.500,1065.500,536.500,8
406,28,255,255,255,1040.393,543.964,1040.393,543.964,8
407,1,255,255,255,1058.500,543.500,1058.500,543.500,8
408,19,255,255,255,1080.184,548.395,1080.184,548.395,8
409,91,255,255,255,1051.412,557.786,1051.412,557.786,8
410,84,255,255,255,939.405,552.190,939.405,552.190,8
411,223,255,255,255,880.756,561.105,880.756,561.105,8
412,8,255,255,255,1034.375,569.375,1034.375,569.375,8
413,1,255,255,255,1028.500,573.500,1028.500,573.500,8
414,3,255,255,255,1059.500,575.500,1059.500,575.500,8
415,1,255,255,255,1053.500,578.500,1053.500,578.500,8
416,4,255,255,255,1012.500,579.750,1012.500,579.750,8
417,11,255,255,255,1006.045,582.955,1006.045,582.955,8
418,5,255,255,255,1053.100,585.100,1053.100,585.100,8
419,133,255,255,255,1038.259,593.673,1038.259,593.673,8
420,2,255,255,255,1061,586.500,1061,586.500,8
