 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
162,199,255,255,255,567.153,322.636,567.153,322.636,10
163,370,255,255,255,642.365,352.951,642.365,352.951,10
164,271,255,255,255,813.496,371.260,813.496,371.260,10
165,375,255,255,255,958.855,395.484,958.855,395.484,10
166,260,255,255,255,497.812,406.708,497.812,406.708,10
167,217,255,255,255,627.555,409.786,627.555,409.786,10
168,327,255,255,255,815.356,442.940,815.356,442.940,10
169,239,255,255,255,651.902,458.810,651.902,458.810,10
170,3,255,255,255,757.500,472.500,757.500,472.500,10
171,235,255,255,255,568.449,480.738,568.449,480.738,10
172,73,255,255,255,759.829,485.527,759.829,485.527,10
173,265,255,255,255,752.874,539.409,752.874,539.409,10
174,131,255,255,255,806.172,545.935,806.172,545.935,10
175,298,255,255,255,749.443,257.779,749.443,257.779,11
176,188,255,255,255,805.713,263.495,805.713,263.495,11
177,9,255,255,255,754.722,311.611,754.722,311.611,11
178,198,255,255,255,567.909,323.667,567.909,323.667,11
179,1,255,255,255,750.500,319.500,750.500,319.500,11
180,366,255,255,255,642.719,353.869,642.719,353.869,11
181,260,255,255,255,814.350,373.346,814.350,373.346,11
182,378,255,255,255,958.873,398.720,958.873,398.720,11
183,262,255,255,255,497.882,407.389,497.882,407.389,11
184,243,255,255,255,627.842,411.331,627.842,411.331,11
185,338,255,255,255,815.464,445.024,815.464,445.024,11
186,244,255,255,255,651.598,459.885,651.598,459.885,11
187,3,255,255,255,761.500,466.500,761.500,466.500,11
188,247,255,255,255,567.925,482.253,567.925,482.253,11
189,6,255,255,255,757.667,475.833,757.667,475.833,11
190,105,255,255,255,760.005,486.605,760.005,486.605,11
191,267,255,255,255,752.328,541.504,752.328,541.504,11
192,119,255,255,255,806.029,547.794,806.029,547.794,11
193,1,255,255,255,401.500,146.500,401.500,146.500,12
194,307,255,255,255,750.083,259.630,750.083,259.630,12
195,181,255,255,255,806.329,265.588,806.329,265.588,12
196,204,255,255,255,568.157,324.608,568.157,324.608,12
197,28,255,255,255,757.714,321.929,757.714,321.929,12
198,1,255,255,255,752.500,327.500,752.500,327.500,12
199,28,255,255,255,758,335.214,758,335.214,12
200,371,255,255,255,643.365,355.395,643.365,355.395,12
201,252,255,255,255,814.369,375.190,814.369,375.190,12
202,384,255,255,255,958.846,401.589,958.846,401.589,12
203,256,255,255,255,498.258,407.496,498.258,407.496,12
204,245,255,255,255,628.027,411.994,628.027,411.994,12
205,340,255,255,255,815.262,447.115,815.262,447.115,12
206,250,255,255,255,650.932,460.980,650.932,460.980,12
207,8,255,255,255,758.125,474.875,758.125,474.875,12
208,243,255,255,255,567.805,483.047,567.805,483.047,12
209,6,255,255,255,756.833,482.333,756.833,482.333,12
210,8,255,255,255,763.500,482.500,763.500,482.500,12
211,1,255,255,255,761.500,493.500,761.500,493.500,12
212,278,255,255,255,751.766,543.288,751.766,543.288,12
213,129,255,255,255,805.128,549.640,805.128,549.640,12
214,1,255,255,255,440.500,141.500,440.500,141.500,13
215,1,255,255,255,432.500,148.500,432.500,148.500,13
216,308,255,255,255,750.701,261.153,750.701,261.153,13
217,174,255,255,255,807.264,267.816,807.264,267.816,13
218,198,255,255,255,568.510,325.212,568.510,325.212,13
219,9,255,255,255,754.278,323.944,754.278,323.944,13
220,376,255,255,255,643.790,355.955,643.790,355.955,13
221,255,255,255,255,814.508,376.904,814.508,376.904,13
222,376,255,255,255,958.766,404.136,958.766,404.136,13
223,256,255,255,255,498.297,408.062,498.297,408.062,13
224,231,255,255,255,627.305,413.474,627.305,413.474,13
225,332,255,255,255,815.355,448.907,815.355,448.907,13
226,1,255,255,255,453.500,442.500,453.500,442.500,13
227,240,255,255,255,650.912,462.171,650.912,462.171,13
228,244,255,255,255,567.639,483.730,567.639,483.730,13
229,83,255,255,255,761.753,487.608,761.753,487.608,13
230,261,255,255,255,750.956,544.856,750.956,544.856,13
231,137,255,255,255,803.799,551.748,803.799,551.748,13
232,306,255,255,255,751.359,262.758,751.359,262.758,14
233,176,255,255,255,807.688,269.188,807.688,269.188,14
234,208,255,255,255,569.062,326.178,569.062,326.178,14
235,2,255,255,255,761,340.500,761,340.500,14
236,371,255,255,255,643.956,357.406,643.956,357.406,14
237,245,255,255,255,814.892,378.855,814.892,378.855,14
238,371,255,255,255,959.020,406.206,959.020,406.206,14
239,260,255,255,255,498.415,408.146,498.415,408.146,14
240,223,255,255,255,627.899,414.016,627.899,414.016,14
241,332,255,255,255,814.636,450.705,814.636,450.705,14
242,245,255,255,255,651.080,463.259,651.080,463.259,14
243,232,255,255,255,567.366,484.047,567.366,484.047,14
244,9,255,255,255,757.389,480.500,757.389,480.500,14
245,27,255,255,255,758.944,494.019,758.944,494.019,14
246,260,255,255,255,750.431,546.273,750.431,546.273,14
247,124,255,255,255,803.702,553.363,803.702,553.363,14
248,300,255,255,255,751.687,264.817,751.687,264.817,15
249,194,255,255,255,808.407,271.438,808.407,271.438,15
250,10,255,255,255,759,316,759,316,15
251,225,255,255,255,569.673,327.109,569.673,327.109,15
252,6,255,255,255,759,320.500,759,320.500,15
253,1,255,255,255,763.500,329.500,763.500,329.500,15
254,13,255,255,255,753.500,331.346,753.500,331.346,15
255,2,255,255,255,761,330.500,761,330.500,15
256,5,255,255,255,466.500,344.500,466.500,344.500,15
257,365,255,255,255,644.281,358.933,644.281,358.933,15
258,258,255,255,255,814.698,380.833,814.698,380.833,15
259,268,255,255,255,498.489,409.541,498.489,409.541,15
260,370,255,255,255,958.838,408.886,958.838,408.886,15
261,224,255,255,255,627.772,415.629,627.772,415.629,15
262,321,255,255,255,814.802,452.734,814.802,452.734,15
263,236,255,255,255,650.907,464.928,650.907,464.928,15
264,241,255,255,255,567.172,485.496,567.172,485.496,15
265,108,255,255,255,758.796,492.806,758.796,492.806,15
266,259,255,255,255,750.071,547.956,750.071,547.956,15
267,140,255,255,255,803.193,555.279,803.193,555.279,15
268,2,255,255,255,446,131.500,446,131.500,16
269,3,255,255,255,406.500,139.500,406.500,139.500,16
270,303,255,255,255,752.480,267.107,752.480,267.107,16
271,179,255,255,255,808.953,273.975,808.953,273.975,16
272,209,255,255,255,569.974,328.720,569.974,328.720,16
273,3,255,255,255,760.500,344.500,760.500,344.500,16
274,355,255,255,255,644.497,361.399,644.497,361.399,16
275,260,255,255,255,815.204,383.935,815.204,383.935,16
276,289,255,255,255,498.372,411.144,498.372,411.144,16
277,379,255,255,255,958.835,412.204,958.835,412.204,16
278,244,255,255,255,628.439,418.369,628.439,418.369,16
279,323,255,255,255,814.980,455.401,814.980,455.401,16
280,229,255,255,255,650.596,467.002,650.596,467.002,16
281,13,255,255,255,758.423,474.885,758.423,474.885,16
282,233,255,255,255,567.058,487.170,567.058,487.170,16
283,5,255,255,255,762.700,483.100,762.700,483.100,16
284,3,255,255,255,757.500,496.500,757.500,496.500,16
285,264,255,255,255,749.833,550,749.833,550,16
286,129,255,255,255,802.671,557.461,802.671,557.461,16
287,292,255,255,255,753.137,269.384,753.137,269.384,17
288,182,255,255,255,809.830,277.214,809.830,277.214,17
289,203,255,255,255,570.643,331.170,570.643,331.170,17
290,11,255,255,255,759.136,328.773,759.136,328.773,17
291,360,255,255,255,644.764,363.906,644.764,363.906,17
292,261,255,255,255,815.550,387.515,815.550,387.515,17
293,252,255,255,255,499.004,413.107,499.004,413.107,17
294,355,255,255,255,958.700,415.925,958.700,415.925,17
295,239,255,255,255,628.659,420.764,628.659,420.764,17
296,19,255,255,255,457.237,440.026,457.237,440.026,17
297,329,255,255,255,814.509,458.728,814.509,458.728,17
298,240,255,255,255,650.833,469.500,650.833,469.500,17
299,251,255,255,255,566.910,489.345,566.910,489.345,17
300,4,255,255,255,760,497.500,760,497.500,17
301,262,255,255,255,748.905,552.244,748.905,552.244,17
302,125,255,255,255,801.748,560.396,801.748,560.396,17
303,313,255,255,255,754.545,272.692,754.545,272.692,18
304,191,255,255,255,810.531,280.966,810.531,280.966,18
305,208,255,255,255,571.274,333.692,571.274,333.692,18
306,5,255,255,255,759.500,328.500,759.500,328.500,18
307,2,255,255,255,757,336.500,757,336.500,18
308,11,255,255,255,761.045,350.136,761.045,350.136,18
